GEOID,NAME,NAMELSAD,ALAND,DISTRICT,TCODE,SCHID
5000100325,Addison,Addison town,107710362,Addison Northwest USD,003,001
5001900475,Albany,Albany town,99830311,Lake Region UHSD,006,002
5001900475,Albany,Albany town,99830311,Lake Region Union Elm-Middle SD,006,002
5001300860,Alburgh,Alburgh town,75373353,Alburgh,009,003
5002701300,Andover,Andover town,74720639,Green Mountain USD,012,004
5000301450,Arlington,Arlington town,108847991,Arlington,015,005
5002501900,Athens,Athens town,36137937,Athens Grafton UESD,018,006
5002501900,Athens,Athens town,36137937,Bellows Falls UHSD,018,006
5000902125,Averill,Averill town,93269918,Averill,020,256
5000902162,Avery's Gore,Avery's gore,47207744,Averys Gore,022,257
5001102500,Bakersfield,Bakersfield town,108990793,Northern Mountain Valley UUSD,024,007
5002702575,Baltimore,Baltimore town,12314212,Green Mountain USD,027,008
5002702725,Barnard,Barnard town,124407498,Mountain Views School District,030,009
5000502875,Barnet,Barnet town,109623097,Caledonia Cooperative School District,033,010
5002303250,Barre Town,Barre town,79183873,Barre UUSD,039,012
5002303175,Barre City,Barre city,10327563,Barre UUSD,036,011
5001903550,Barton,Barton town,110681933,Lake Region UHSD,042,013
5001903550,Barton,Barton town,110681933,Lake Region Union Elm-Middle SD,042,013
5001504375,Belvidere,Belvidere town,92206005,Lamoille North MUSD A,048,014
5001504375,Belvidere,Belvidere town,92206005,Lamoille North MUSD B,048,014
5000304825,Bennington,Bennington town,108648450,Mt. Anthony UHSD,051,015
5000304825b,Bennington Less NBID,Bennington Less NBID,103957675,Southwest Vermont UESD,051b,015b
5000304825a,Bennington NBID,Bennington NBID,4690774,North Bennington ID,051a,015a
5002105200,Benson,Benson town,113651207,Slate Valley UUSD,054,017
5001105425,Berkshire,Berkshire town,107977139,Northern Mountain Valley UUSD,057,018
5002305650,Berlin,Berlin town,93344938,Washington Central UUSD,060,019
5002705800,Bethel,Bethel town,117835268,White River Unified District,063,020
5000906325,Bloomfield,Bloomfield town,104034236,Northeast Kingdom Choice School District,066,021
5000706550,Bolton,Bolton town,108170249,Mt. Mansfield UUSD,069,022
5001707375,Bradford,Bradford town,76818599,Oxbow UUSD,072,023
5001707600,Braintree,Braintree town,99570810,Orange Southwest USD,075,024
5002107750,Brandon,Brandon town,102913147,Otter Valley UUSD,078,026
5002507900,Brattleboro,Brattleboro town,83023847,Windham Southeast SD,081,027
5002708275,Bridgewater,Bridgewater town,128160488,Mountain Views School District,084,028
5000108575,Bridport,Bridport town,113158876,Addison Central USD,087,029
5000908725,Brighton,Brighton town,136927046,Brighton,090,030
5000908725,Brighton,Brighton town,136927046,North Country Sr UHSD,090,030
5000109025,Bristol,Bristol town,105018080,Mt. Abraham USD,093,031
